snapped_at,price,market_cap,total_volume
2025-01-18 00:00:00 UTC,28.929288312884683,5821894233.9631405,13197840533.578876
2025-01-19 00:00:00 UTC,28.929288312884683,5821894233.9631405,13197840533.578876
2025-01-20 00:00:00 UTC,42.27514576806698,8424686470.183872,36069878689.70184
2025-01-21 00:00:00 UTC,36.802050295981054,7502004514.58809,23081668366.440884
2025-01-22 00:00:00 UTC,44.28351131942989,8792418837.037668,18817898901.789604
2025-01-23 00:00:00 UTC,36.92866145381395,7388641019.353158,5847805907.022273
2025-01-24 00:00:00 UTC,34.7152759576598,6949959133.370741,5743704719.854984
2025-01-25 00:00:00 UTC,29.840047484694818,5954009211.615779,3549738531.0979514
2025-01-26 00:00:00 UTC,29.00657211865172,5801563108.620101,4576950336.92621
2025-01-27 00:00:00 UTC,27.3172553504209,5501249332.95206,3216880393.041358
2025-01-28 00:00:00 UTC,27.79528918808846,5545702040.61871,3694707221.009507
2025-01-29 00:00:00 UTC,27.36065403910105,5465090887.346957,3523417508.7212267
2025-01-30 00:00:00 UTC,27.18860580285987,5460179183.768154,2415796487.545739
2025-01-31 00:00:00 UTC,26.093784364927693,5221891743.369554,2004302572.9899082
2025-02-01 00:00:00 UTC,24.053962900997654,4803106633.924721,2043432393.6664505
